model,category,accuracy,correct,total
gemini_robotics_er_with_prompt,location_above,0.7000,91,130
gemini_robotics_er_with_prompt,height_higher,0.5926,80,135
gemini_robotics_er_with_prompt,location_closer_to_camera,0.7986,111,139
gemini_robotics_er_with_prompt,multi_object_closer_to,0.6933,52,75
gemini_robotics_er_with_prompt,orientation_on_the_left,0.5455,30,55
gemini_robotics_er_with_prompt,multi_object_facing,0.5781,37,64
gemini_robotics_er_with_prompt,multi_object_same_direction,0.5362,37,69
gemini_robotics_er_with_prompt,orientation_in_front_of,0.6857,48,70
gemini_robotics_er_with_prompt,multi_object_viewpoint_towards_object,0.3077,20,65
gemini_robotics_er_with_prompt,orientation_viewpoint,0.5000,31,62
gemini_robotics_er_with_prompt,location_next_to,0.8028,57,71
gemini_robotics_er_with_prompt,multi_object_parallel,0.7385,48,65
gemini_robotics_er_without_prompt,location_above,0.6846,89,130
gemini_robotics_er_without_prompt,height_higher,0.1185,16,135
gemini_robotics_er_without_prompt,location_closer_to_camera,0.2014,28,139
gemini_robotics_er_without_prompt,multi_object_closer_to,0.4400,33,75
gemini_robotics_er_without_prompt,orientation_on_the_left,0.5818,32,55
gemini_robotics_er_without_prompt,multi_object_facing,0.4062,26,64
gemini_robotics_er_without_prompt,multi_object_same_direction,0.5797,40,69
gemini_robotics_er_without_prompt,orientation_in_front_of,0.5714,40,70
gemini_robotics_er_without_prompt,multi_object_viewpoint_towards_object,0.2615,17,65
gemini_robotics_er_without_prompt,orientation_viewpoint,0.4516,28,62
gemini_robotics_er_without_prompt,location_next_to,0.5915,42,71
gemini_robotics_er_without_prompt,multi_object_parallel,0.5846,38,65
