model,category,accuracy,correct,total
gpt4o_with_prompt_1,location_above,0.5231,68,130
gpt4o_with_prompt_1,height_higher,0.2444,33,135
gpt4o_with_prompt_1,location_closer_to_camera,0.4460,62,139
gpt4o_with_prompt_1,multi_object_closer_to,0.4667,35,75
gpt4o_with_prompt_1,orientation_on_the_left,0.4000,22,55
gpt4o_with_prompt_1,multi_object_facing,0.3281,21,64
gpt4o_with_prompt_1,multi_object_same_direction,0.3478,24,69
gpt4o_with_prompt_1,orientation_in_front_of,0.5000,35,70
gpt4o_with_prompt_1,multi_object_viewpoint_towards_object,0.2154,14,65
gpt4o_with_prompt_1,orientation_viewpoint,0.2581,16,62
gpt4o_with_prompt_1,location_next_to,0.4085,29,71
gpt4o_with_prompt_1,multi_object_parallel,0.4769,31,65
gpt4o_without_prompt_1,location_above,0.6923,90,130
gpt4o_without_prompt_1,height_higher,0.5185,70,135
gpt4o_without_prompt_1,location_closer_to_camera,0.6691,93,139
gpt4o_without_prompt_1,multi_object_closer_to,0.6800,51,75
gpt4o_without_prompt_1,orientation_on_the_left,0.6364,35,55
gpt4o_without_prompt_1,multi_object_facing,0.4219,27,64
gpt4o_without_prompt_1,multi_object_same_direction,0.4783,33,69
gpt4o_without_prompt_1,orientation_in_front_of,0.6429,45,70
gpt4o_without_prompt_1,multi_object_viewpoint_towards_object,0.3846,25,65
gpt4o_without_prompt_1,orientation_viewpoint,0.5000,31,62
gpt4o_without_prompt_1,location_next_to,0.7465,53,71
gpt4o_without_prompt_1,multi_object_parallel,0.5385,35,65
