model,prompt_variant,category,accuracy,correct,total
llava4d,with_prompt,Count,0.5381,424,788
llava4d,with_prompt,Relation,0.6723,437,650
llava4d,with_prompt,Depth,0.7133,428,600
llava4d,with_prompt,Distance,0.5733,344,600
llava4d,without_prompt,Count,0.6015,474,788
llava4d,without_prompt,Relation,0.1446,94,650
llava4d,without_prompt,Depth,0.0567,34,600
llava4d,without_prompt,Distance,0.2467,148,600
qwen3_4b,with_prompt,Count,0.6472,510,788
qwen3_4b,with_prompt,Relation,0.8785,571,650
qwen3_4b,with_prompt,Depth,0.9383,563,600
qwen3_4b,with_prompt,Distance,0.8367,502,600
qwen3_4b,without_prompt,Count,0.6523,514,788
qwen3_4b,without_prompt,Relation,0.9400,611,650
qwen3_4b,without_prompt,Depth,0.9567,574,600
qwen3_4b,without_prompt,Distance,0.8517,511,600
sa2va,with_prompt,Count,0.5787,456,788
sa2va,with_prompt,Relation,0.7800,507,650
sa2va,with_prompt,Depth,0.7983,479,600
sa2va,with_prompt,Distance,0.6367,382,600
sa2va,without_prompt,Count,0.4010,316,788
sa2va,without_prompt,Relation,0.0769,50,650
sa2va,without_prompt,Depth,0.8000,480,600
sa2va,without_prompt,Distance,0.4717,283,600
